sgg_cd,apt_seq,exclu_use_ar,area_status,kapt_code,kapt_area,households,group_id,group_label,group_areas,apt_nm
11110,11110-101,175.81,K-apt 면적정보 없음,,,,175.81,176,175.81,크래스빌
11110,11110-102,28.1,면적 매칭,A11034001,28.1,17,28.1,28,28.1,현대뜨레비앙
11110,11110-102,36.08,면적 매칭,A11034001,36.08,21,36.08,36,36.08,현대뜨레비앙
11110,11110-102,43.98,면적 매칭,A11034001,43.98,21,43.98,44,43.98,현대뜨레비앙
11110,11110-102,45.5,면적 매칭,A11034001,45.5,36,45.5,46,45.5,현대뜨레비앙
11110,11110-102,46.64,면적 매칭,A11034001,46.64,62,46.64,47,46.64,현대뜨레비앙
11110,11110-102,48.54,면적 매칭,A11034001,48.54,116,48.54,49,48.54,현대뜨레비앙
11110,11110-105,55.04,K-apt 면적정보 없음,,,,55.04,55,55.04,탑스빌
11110,11110-107,103.77,K-apt 면적정보 없음,,,,103.77,104,103.77,경희궁파크팰리스
11110,11110-107,117.26,K-apt 면적정보 없음,,,,117.26,117,117.26,경희궁파크팰리스
11110,11110-107,146.39,K-apt 면적정보 없음,,,,146.39,146,146.39,경희궁파크팰리스
11110,11110-107,147.62,K-apt 면적정보 없음,,,,147.62,148,147.62|148.09,경희궁파크팰리스
11110,11110-107,148.09,K-apt 면적정보 없음,,,,147.62,148,147.62|148.09,경희궁파크팰리스
11110,11110-112,84.82,K-apt 면적정보 없음,,,,84.82,85,84.82,신현(102동)
11110,11110-112,121.96,K-apt 면적정보 없음,,,,121.96,122,121.96,신현(102동)
11110,11110-115,124.17,K-apt 면적정보 없음,,,,124.17,124,124.17,경희궁의아침2단지
11110,11110-115,140.78,K-apt 면적정보 없음,,,,140.78,141,140.78,경희궁의아침2단지
11110,11110-115,174.55,K-apt 면적정보 없음,,,,174.55,175,174.55,경희궁의아침2단지
11110,11110-116,123.13,면적 매칭,A11007001,123.13,15,123.13,123,123.13,경희궁의아침3단지
11110,11110-116,149,면적 매칭,A11007001,149,30,149,149,149,경희궁의아침3단지
11110,11110-116,150.48,면적 매칭,A11007001,150.48,60,150.48,150,150.48,경희궁의아침3단지
11110,11110-116,174.55,면적 매칭,A11007001,174.55,30,174.55,175,174.55,경희궁의아침3단지
11110,11110-117,124.17,K-apt 면적정보 없음,,,,124.17,124,124.17,경희궁의아침4단지
11110,11110-117,145.96,K-apt 면적정보 없음,,,,145.96,146,145.96,경희궁의아침4단지
11110,11110-117,150.48,K-apt 면적정보 없음,,,,150.48,150,150.48|150.77,경희궁의아침4단지
11110,11110-117,150.77,K-apt 면적정보 없음,,,,150.48,150,150.48|150.77,경희궁의아침4단지
11110,11110-118,189.51,K-apt 면적정보 없음,,,,189.51,190,189.51,킹스매너
11110,11110-12,65.79,K-apt 면적정보 없음,,,,65.79,66,65.79|65.82,롯데미도파광화문빌딩
11110,11110-12,65.82,K-apt 면적정보 없음,,,,65.79,66,65.79|65.82,롯데미도파광화문빌딩
11110,11110-12,93.36,K-apt 면적정보 없음,,,,93.36,93,93.36,롯데미도파광화문빌딩
11110,11110-124,49.56,K-apt 면적정보 없음,,,,49.56,50,49.56,동성아파트(1동)
11110,11110-124,57.96,K-apt 면적정보 없음,,,,57.96,58,57.96,동성아파트(1동)
11110,11110-127,75.62,K-apt 면적정보 없음,,,,75.62,76,75.62,송림아마레스아파트
11110,11110-128,64.68,K-apt 면적정보 없음,,,,64.68,65,64.68,리치캐슬아파트
11110,11110-128,84.33,K-apt 면적정보 없음,,,,84.33,84,84.33,리치캐슬아파트
11110,11110-13,91.46,K-apt 면적정보 없음,,,,91.46,91,91.46|91.68,세종
11110,11110-13,91.68,K-apt 면적정보 없음,,,,91.46,91,91.46|91.68,세종
11110,11110-13,104.5,K-apt 면적정보 없음,,,,104.5,105,104.5|105.06,세종
11110,11110-13,105.06,K-apt 면적정보 없음,,,,104.5,105,104.5|105.06,세종
11110,11110-131,47.63,K-apt 면적정보 없음,,,,47.63,48,47.63,하림빌라트
11110,11110-132,60,K-apt 면적정보 없음,,,,60,60,60,동문(482-0)
11110,11110-14,66.96,K-apt 면적정보 없음,,,,66.96,67,66.96,세종로대우
11110,11110-14,109.91,K-apt 면적정보 없음,,,,109.91,110,109.91,세종로대우
11110,11110-146,150.83,K-apt 면적정보 없음,,,,150.83,151,150.83|150.94,벽산블루밍평창힐스
11110,11110-146,150.94,K-apt 면적정보 없음,,,,150.83,151,150.83|150.94,벽산블루밍평창힐스
11110,11110-146,155.97,K-apt 면적정보 없음,,,,155.97,156,155.97,벽산블루밍평창힐스
11110,11110-15,81.28,K-apt 면적정보 없음,,,,81.28,81,81.28,신문로맨션
11110,11110-15,91.53,K-apt 면적정보 없음,,,,91.53,92,91.53,신문로맨션
11110,11110-150,81,K-apt 면적정보 없음,,,,81,81,81|81.08,부암스카이뷰
11110,11110-150,81.08,K-apt 면적정보 없음,,,,81,81,81|81.08,부암스카이뷰
11110,11110-151,88.89,K-apt 면적정보 없음,,,,88.89,89,88.89,프라임캐슬(케이빌라트)
11110,11110-152,84.95,면적 매칭,A11087601,84.95,110,84.95,85,84.95,롯데캐슬천지인
11110,11110-152,111.73,면적 매칭,A11087601,111.73,55,111.73,112,111.73|112.54,롯데캐슬천지인
11110,11110-152,112.54,면적 매칭,A11087601,112.54,55,111.73,112,111.73|112.54,롯데캐슬천지인
11110,11110-153,54.72,K-apt 면적정보 없음,,,,54.72,55,54.72,MID그린(2동)
11110,11110-16,57.18,K-apt 면적정보 없음,,,,57.18,57,57.18,운현신화타워
11110,11110-16,78.23,K-apt 면적정보 없음,,,,78.23,78,78.23,운현신화타워
11110,11110-16,84.26,K-apt 면적정보 없음,,,,84.26,84,84.26|84.91,운현신화타워
11110,11110-16,84.91,K-apt 면적정보 없음,,,,84.26,84,84.26|84.91,운현신화타워
11110,11110-16,97.03,K-apt 면적정보 없음,,,,97.03,97,97.03,운현신화타워
11110,11110-204,61.49,K-apt 면적정보 없음,,,,61.49,61,61.49,효자
11110,11110-205,29.31,K-apt 면적정보 없음,,,,29.31,29,29.31,로얄팰리스스위트
11110,11110-205,36.86,K-apt 면적정보 없음,,,,36.86,37,36.86,로얄팰리스스위트
11110,11110-205,39.57,K-apt 면적정보 없음,,,,39.57,40,39.57|39.67|40.07,로얄팰리스스위트
11110,11110-205,39.67,K-apt 면적정보 없음,,,,39.57,40,39.57|39.67|40.07,로얄팰리스스위트
11110,11110-205,40.07,K-apt 면적정보 없음,,,,39.57,40,39.57|39.67|40.07,로얄팰리스스위트
11110,11110-205,42.87,K-apt 면적정보 없음,,,,42.87,43,42.87|43.07,로얄팰리스스위트
11110,11110-205,43.07,K-apt 면적정보 없음,,,,42.87,43,42.87|43.07,로얄팰리스스위트
11110,11110-205,46.09,K-apt 면적정보 없음,,,,46.09,46,46.09,로얄팰리스스위트
11110,11110-205,83.26,K-apt 면적정보 없음,,,,83.26,83,83.26,로얄팰리스스위트
11110,11110-206,61.38,K-apt 면적정보 없음,,,,61.38,61,61.38,혜화훼미리
11110,11110-206,109.06,K-apt 면적정보 없음,,,,109.06,109,109.06,혜화훼미리
11110,11110-2073,103.07,K-apt 면적정보 없음,,,,103.07,103,103.07,형우럭스빌(33-1)
11110,11110-2082,182.84,K-apt 면적정보 없음,,,,182.84,183,182.84,세종아파트
11110,11110-212,32.53,K-apt 면적정보 없음,,,,32.53,33,32.53,방산아파트
11110,11110-212,57.1,K-apt 면적정보 없음,,,,57.1,57,57.1,방산아파트
11110,11110-2128,84.78,K-apt 면적정보 없음,,,,84.78,85,84.78,건양하늘터
11110,11110-2132,100.69,K-apt 면적정보 없음,,,,100.69,101,100.69,별빛고운
11110,11110-2150,84.67,K-apt 면적정보 없음,,,,84.67,85,84.67|84.81|84.87,브라운스톤창신
11110,11110-2150,84.81,K-apt 면적정보 없음,,,,84.67,85,84.67|84.81|84.87,브라운스톤창신
11110,11110-2150,84.87,K-apt 면적정보 없음,,,,84.67,85,84.67|84.81|84.87,브라운스톤창신
11110,11110-2155,84.64,면적 매칭,A11041001,84.64,48,84.64,85,84.64|84.7|84.98,효성쥬얼리시티
11110,11110-2155,84.7,면적 매칭,A11041001,84.7,46,84.64,85,84.64|84.7|84.98,효성쥬얼리시티
11110,11110-2155,84.98,면적 매칭,A11041001,84.98,46,84.64,85,84.64|84.7|84.98,효성쥬얼리시티
11110,11110-2155,92.81,면적 매칭,A11041001,92.81,48,92.81,93,92.81,효성쥬얼리시티
11110,11110-2155,98.39,면적 매칭,A11041001,98.39,48,98.39,98,98.39,효성쥬얼리시티
11110,11110-2155,106.81,면적 매칭,A11041001,106.81,46,106.81,107,106.81,효성쥬얼리시티
11110,11110-2155,169.86,면적 매칭,A11041001,169.86,4,169.86,170,169.86,효성쥬얼리시티
11110,11110-2164,108.95,K-apt 면적정보 없음,,,,108.95,109,108.95,신동아블루아광화문의꿈
11110,11110-2164,111.97,K-apt 면적정보 없음,,,,111.97,112,111.97,신동아블루아광화문의꿈
