aptSeq,aptNm,umdNm,road_key,jibun_key,거래건수,kaptCode,kaptName,matched_by
11680-3623,도곡렉슬,도곡동,선릉로 221,도곡동 527,296,A13527203,도곡렉슬,road
11680-314,까치마을,수서동,광평로19길 10,수서동 746,282,A13522007,수서까치마을,road
11680-4929,개포래미안포레스트,개포동,개포로 264,개포동 1282,264,A10024564,개포래미안포레스트,road
11680-280,성원대치2단지아파트,개포동,개포로109길 9,개포동 12,261,A13524009,개포대치2단지,road
11680-4800,래미안블레스티지,개포동,선릉로 8,개포동 1280,188,A10025675,래미안블레스티지,road
11680-218,은마,대치동,삼성로 212,대치동 316,186,A13583507,은마,road
11680-319,신동아,수서동,광평로47길 17,수서동 736,170,A13522006,수서신동아,road
11680-4375,강남자곡 힐스테이트,자곡동,자곡로3길 21,자곡동 619,142,A10027985,강남자곡힐스테이트아파트,road
11680-5235,개포자이프레지던스,개포동,삼성로 14,개포동 1284,138,A10023348,개포자이프레지던스,road
11680-3621,역삼래미안,역삼동,선릉로69길 19,역삼동 757,129,A13592706,역삼래미안,road
11680-4090,세곡푸르지오,세곡동,자곡로 21,세곡동 533,126,A13519006,세곡푸르지오,road
11680-4394,래미안대치팰리스,대치동,삼성로51길 37,대치동 1027,123,,,none
11680-3834,삼성동힐스테이트 1단지,삼성동,학동로68길 29,삼성동 16-2,123,A13509012,삼성힐스테이트1단지,road
11680-4780,래미안 개포 루체하임,일원동,개포로110길 50,일원동 741,120,A10025823,래미안개포루체하임,road
11680-308,푸른마을아파트101동~111동,일원동,일원로14길 25,일원동 719,120,A13594203,푸른마을아파트,road
11680-4850,디에이치아너힐즈,개포동,삼성로 11,개포동 1281,112,A10025203,디에이치 아너힐즈,road
11680-4332,강남자곡아이파크,자곡동,자곡로 175,자곡동 602,111,A10028172,강남자곡아이파크,road
11680-279,삼익대청아파트,개포동,개포로109길 21,개포동 12,110,A13594007,대청,road
11680-4319,래미안강남힐즈,자곡동,자곡로 101,자곡동 611,103,A13520003,래미안강남힐즈,road
11680-305,수서,일원동,양재대로55길 12,일원동 711,100,A13593801,일원동 수서아파트,road
11680-3643,역삼푸르지오,역삼동,언주로 332,역삼동 754-1,98,A13592604,역삼푸르지오,road
11680-290,개포주공6단지,개포동,개포로 516,개포동 185,96,A13599301,개포주공7단지,road
11680-391,개포주공5단지,개포동,삼성로4길 17,개포동 187,96,A13599402,개포주공5단지,road
11680-4324,강남데시앙포레,수서동,광평로34길 55,수서동 795,92,A13552002,강남데시앙포레,road
11680-222,한보미도맨션1,대치동,삼성로 150,대치동 511,90,A13528004,대치미도맨션,road
11680-327,럭키(963),도곡동,논현로 213,도곡동 963,89,A13585804,역삼럭키,road
11680-4988,디에이치자이개포,일원동,영동대로 22,일원동 743,87,A10024216,디에이치 자이 개포,road
11680-109,신동아(22),논현동,강남대로146길 28,논현동 22,87,A13501004,논현신동아,road
11680-578,개포주공7단지,개포동,개포로 516,개포동 185,85,A13599301,개포주공7단지,road
11680-3622,e-편한세상,역삼동,선릉로69길 20,역삼동 755-4,84,A13592605,역삼e-편한세상,road
11680-364,타워팰리스1,도곡동,언주로30길 56,도곡동 467,80,A13527017,타워팰리스1차,road
11680-4199,강남엘에이치1단지,세곡동,헌릉로571길 20,세곡동 579,79,A13519007,강남엘에이치1단지,road
11680-4004,청담자이,청담동,영동대로138길 12,청담동 134-38,78,A13510007,청담자이,road
11680-20,미성2차,압구정동,압구정로 113,압구정동 397,78,A13511003,압구정미성2차,road
11680-378,한양1차(영동한양),압구정동,압구정로 321,압구정동 490,78,,,none
11680-3830,현대힐스테이트2단지,삼성동,삼성로111길 8,삼성동 50,76,A13570501,삼성동힐스테이트2단지,road
11680-317,삼익,수서동,광평로51길 27,수서동 708,73,A13522003,수서삼익,road
11680-205,대치삼성,대치동,도곡로78길 22,대치동 1014-3,73,A13528003,대치삼성,road
11680-4298,강남한양수자인(4단지),자곡동,자곡로 260,자곡동 686,72,A13520002,강남한양수자인,road
11680-365,타워팰리스2,도곡동,언주로30길 57,도곡동 467-17,69,A13585402,타워팰리스2차,road
11680-331,삼성래미안,도곡동,남부순환로 2803,도곡동 91-5,69,,,none
11680-3752,대치아이파크,대치동,선릉로 222,대치동 888,69,A13528102,대치아이파크,road
11680-601,동부센트레빌,대치동,선릉로 206,대치동 670,68,A13528103,대치동부센트레빌,road
11680-426,신현대12차,압구정동,압구정로 151,압구정동 434,68,A13511004,압구정신현대,road
11680-275,대우디오빌,역삼동,언주로 427,역삼동 720-25,67,A13592002,대우디오빌역삼,road
11680-420,"현대6차(78~81,83,84,86,87동)",압구정동,압구정로 201,압구정동 456,67,,,none
11680-481,한보미도맨션2,대치동,삼성로 150,대치동 511,66,A13528004,대치미도맨션,road
11680-310,개포한신,일원동,개포로110길 43,일원동 615-1,65,A13594402,개포한신,road
11680-206,대치현대,대치동,삼성로64길 5,대치동 974,64,A13583701,대치현대,road
11680-316,삼성,수서동,광평로31길 27,수서동 747,64,A13522004,수서삼성,road
11680-5271,대치푸르지오발라드,개포동,개포로 407,개포동 176-2,62,,,none
11680-3679,역삼I'PARK,역삼동,역삼로 307,역삼동 713-11,61,A13508009,역삼아이파크,road
11680-320,경남,도곡동,논현로 209,도곡동 967,61,A13527008,도곡경남,road
11680-4296,테헤란아이파크,역삼동,테헤란로52길 16,역삼동 709-5,61,A13508012,테헤란 IPARK,road
11680-425,신현대11차,압구정동,압구정로 151,압구정동 433,60,A13511004,압구정신현대,road
11680-3733,롯데캐슬프레미어,삼성동,선릉로126길 22,삼성동 11,56,A13509010,삼성롯데캐슬프레미어,road
11680-303,상록수,일원동,광평로10길 15,일원동 734,54,A13594702,상록수아파트,road
11680-121,동현아파트1~6,논현동,언주로146길 18,논현동 105,54,A13582002,논현동현,road
11680-306,우성7,일원동,개포로110길 15,일원동 615,52,A13594403,개포7차우성,road
11680-423,신현대9차,압구정동,압구정로 151,압구정동 426,52,A13511004,압구정신현대,road
11680-4356,아크로힐스논현,논현동,언주로 604,논현동 276-1,51,A13501006,아크로힐스논현,road
11680-34,삼성청담공원아파트,청담동,도산대로96길 39,청담동 60,48,A13510103,삼성청담공원,road
11680-422,현대8차(성수현대:91~95동),압구정동,압구정로 309,압구정동 481,48,A13511201,압구정현대8차,road
11680-301,목련타운,일원동,광평로19길 15,일원동 716,47,A13523005,일원목련타운,road
11680-416,"현대2차(10,11,20,23,24,25동)",압구정동,압구정로29길 71,압구정동 369-1,47,A13589802,압구정현대아파트,road
11680-309,한솔마을,일원동,광평로10길 6,일원동 731,46,A13594701,한솔마을,road
11680-470,타워팰리스3,도곡동,언주로30길 26,도곡동 467-29,45,A13585403,타워팰리스G동,road
11680-168,삼성동롯데아파트,삼성동,학동로 432,삼성동 17,45,A13509007,삼성롯데,road
11680-318,수서한아름,수서동,광평로51길 22,수서동 712,45,A13588402,수서한아름,road
11680-304,샘터마을,일원동,일원로 120,일원동 718,44,A13523004,일원샘터마을,road
11680-177,서광아파트,삼성동,선릉로130길 19,삼성동 2,44,A13509006,삼성서광,road
11680-293,현대2,개포동,언주로 107,개포동 654,44,A13524006,개포2차 현대아파트,road
11680-216,개포우성2,대치동,선릉로 120,대치동 500,43,A13528105,개포1차2차우성,road
11680-373,"쌍용대치아파트1동,2동,3동,5동,6동",대치동,영동대로 210,대치동 66,43,A13583404,쌍용대치1차,road
11680-3871,래미안그레이튼,역삼동,도곡로43길 20,역삼동 763-16,42,A13579505,래미안그레이튼3차,road
11680-98,청담대림이-편한세상,청담동,학동로77길 27,청담동 30-33,42,A13510006,청담대림,road
11680-3905,래미안그레이튼(진달래2차),역삼동,도곡로43길 21,역삼동 762-3,42,A13508011,래미안그레이튼,road
11680-214,쌍용대치2,대치동,영동대로 220,대치동 65,41,A13583402,대치쌍용2차,road
11680-211,선경1차(1동-7동),대치동,삼성로 151,대치동 506,41,A13583604,대치선경,road
11680-4341,강남브리즈힐(토지임대부아파트),자곡동,자곡로3길 45,자곡동 618,41,A13520004,강남브리즈힐,road
11680-5004,래미안라클래시,삼성동,삼성로 651,삼성동 189,41,A10024131,래미안 라클래시,road
11680-349,한신(개포),도곡동,언주로 123,도곡동 464,41,A13527016,도곡개포한신아파트,road
11680-4003,강남데시앙파크,세곡동,헌릉로590길 63,세곡동 525,40,A13519005,강남데시앙파크,road
11680-372,개포우성1,대치동,선릉로 120,대치동 503,40,A13528105,개포1차2차우성,road
11680-3680,개나리래미안,역삼동,역삼로 306,역삼동 754,39,A13592601,역삼개나리래미안,road
11680-249,한화진넥스빌,역삼동,언주로86길 11,역삼동 706-20,38,A13579504,한화진넥스빌,road
11680-217,"대치우성아파트1동,2동,3동,5동,6동,7동",대치동,영동대로 230,대치동 63,38,A13583403,대치우성1차아파트,road
11680-5056,강남센트럴아이파크,역삼동,테헤란로44길 26,역삼동 902,38,A10023825,강남센트럴아이파크,road
11680-566,아카데미스위트1,도곡동,언주로30길 21,도곡동 467-7,38,A13527011,아카데미스위트,road
11680-339,도곡우성아파트,도곡동,남부순환로363길 49,도곡동 934-10,37,A13527010,도곡우성아파트,road
11680-417,현대3차(61~64동),압구정동,압구정로39길 58,압구정동 443,37,,,none
11680-323,대림아크로빌,도곡동,언주로30길 13,도곡동 467-6,36,A13527014,도곡대림아크로빌,road
11680-472,아이파크,삼성동,영동대로 640,삼성동 87,36,A13509009,아이파크삼성동,road
11680-65,청담건영,청담동,도산대로89길 49,청담동 108,36,A13576201,청담건영아파트,road
11680-421,"현대7차(73~77,82,85동)",압구정동,압구정로 201,압구정동 456,36,,,none
11680-315,동익,수서동,광평로39길 3,수서동 738,35,A13588601,수서동익,road
11680-354,현대비젼21,도곡동,언주로30길 10,도곡동 467-19,35,A13527005,현대비전21,road
11680-3559,선경2차(8동-12동),대치동,삼성로 151,대치동 506,35,A13583604,대치선경,road
11680-415,"현대1차(12,13,21,22,31,32,33동)",압구정동,압구정로29길 71,압구정동 369-1,35,A13589802,압구정현대아파트,road
11680-5015,개포더샵트리에,개포동,개포로 311,개포동 651-1,32,A13580601,개포우성9차,road
11680-3962,도곡쌍용예가,도곡동,남부순환로363길 30,도곡동 933,32,A13527019,도곡쌍용예가,road
11680-350,한신엠비씨,도곡동,논현로 205,도곡동 895-8,32,A13550403,도곡한신,road
11680-4515,역삼자이,역삼동,언주로 420,역삼동 711-3,32,A10027474,역삼자이아파트,road
11680-83,현대아파트,청담동,선릉로 748,청담동 23,32,A13510202,청담2차현대아파트,road
11680-78,청담현대3차아파트,청담동,도산대로101길 29,청담동 127-31,32,A13510102,청담현대3차,road
11680-551,마일스디오빌,논현동,학동로 165,논현동 58-2,31,A13501002,마일스디오빌,road
11680-283,개포우성3차,개포동,개포로 307,개포동 652,31,A13524004,개포우성3차,road
11680-3734,도곡1차아이파크,도곡동,도곡로28길 8,도곡동 543-7,31,A13527007,도곡1차아이파크,road
11680-285,우성8,개포동,개포로 411,개포동 179,31,A13580002,개포우성8차,road
11680-4173,래미안도곡카운티,도곡동,도곡로 320,도곡동 538-3,31,A13585404,래미안도곡카운티,road
11680-5005,대치르엘,대치동,도곡로93길 23,대치동 1030,31,A10024102,대치르엘,road
11680-194,삼성동한솔아파트,삼성동,학동로64길 7,삼성동 4-6,30,A13509004,삼성한솔,road
11680-3647,SK허브프리모,도곡동,강남대로 240,도곡동 953-1,29,A13527018,양재SK허브프리모,road
11680-351,현대아파트1동~3동,도곡동,도곡로18길 35,도곡동 961,28,,,none
11680-352,현대그린1,도곡동,논현로51길 25,도곡동 964,28,A13527002,도곡현대그린,road
11680-4297,래미안포레,자곡동,밤고개로21길 25,자곡동 687,28,A13520001,래미안포레,road
11680-428,"현대14차(203,204,205,206동)",압구정동,압구정로29길 57,압구정동 447,28,,,none
11680-4510,강남 더샵 포레스트,수서동,광평로34길 35,수서동 799,27,A10027446,강남더샵포레스트,road
11680-3732,래미안삼성2차,삼성동,선릉로130길 20,삼성동 7-3,27,A13509005,삼성래미안2차,road
11680-380,한양3,압구정동,압구정로 321,압구정동 489,26,,,none
