lawd_cd,district_name,deal_rows,deal_count,complexes,complexes_kapt_matched,complex_match_rate,deals_kapt_matched,deal_weighted_match_rate,combos_36m,combos_recent12m,coverage_rate,direct_deal_count,direct_deal_rate,cancel_count,cancel_rate,combos_36m_group,combos_recent12m_group,combos_recent12m_group_valid,combos_1or2_all,combos_1or2_valid
11110,종로구,1652,1653,110,23,0.2091,1198,0.7247,330,209,0.6333,104,0.0629,96,0.0581,259,170,161,114,113
11140,중구,2932,2940,116,34,0.2931,2476,0.8422,402,273,0.6791,91,0.0310,225,0.0765,300,216,204,131,124
11170,용산구,3480,3510,209,59,0.2823,2420,0.6895,676,455,0.6731,190,0.0541,238,0.0678,522,363,346,233,226
11200,성동구,8619,8687,164,90,0.5488,7875,0.9065,575,452,0.7861,307,0.0353,675,0.0777,418,343,334,122,121
11215,광진구,4237,4371,220,63,0.2864,3114,0.7124,626,430,0.6869,351,0.0803,266,0.0609,488,349,328,201,197
11230,동대문구,8545,8675,289,93,0.3218,7145,0.8236,871,639,0.7336,552,0.0636,515,0.0594,635,485,466,204,198
11260,중랑구,5692,5928,245,87,0.3551,4292,0.7240,656,504,0.7683,638,0.1076,327,0.0552,504,399,380,171,170
11290,성북구,10659,10711,178,111,0.6236,10129,0.9457,645,540,0.8372,403,0.0376,567,0.0529,461,391,378,102,96
11305,강북구,3485,3541,125,41,0.3280,2971,0.8390,344,221,0.6424,293,0.0827,147,0.0415,262,179,170,90,86
11320,도봉구,5678,5689,186,87,0.4677,4338,0.7625,517,396,0.7660,225,0.0396,249,0.0438,420,332,325,115,113
11350,노원구,15985,16043,298,188,0.6309,13351,0.8322,940,798,0.8489,571,0.0356,688,0.0429,728,636,624,155,154
11380,은평구,7511,7557,441,111,0.2517,5933,0.7851,1170,798,0.6821,556,0.0736,368,0.0487,852,602,566,347,332
11410,서대문구,7606,7635,253,76,0.3004,6426,0.8417,760,552,0.7263,360,0.0472,461,0.0604,569,422,403,199,186
11440,마포구,8353,8455,303,104,0.3432,6743,0.7975,898,650,0.7238,187,0.0221,451,0.0533,665,509,493,236,233
11470,양천구,8334,8340,410,109,0.2659,6582,0.7892,1144,796,0.6958,235,0.0282,447,0.0536,942,660,637,388,385
11500,강서구,10890,10968,567,148,0.2610,8822,0.8043,1344,950,0.7068,568,0.0518,500,0.0456,1059,777,746,402,389
11530,구로구,8810,9116,419,128,0.3055,7539,0.8270,949,708,0.7460,663,0.0727,548,0.0601,771,592,570,258,254
11545,금천구,2708,2712,129,36,0.2791,2370,0.8739,304,227,0.7467,113,0.0417,135,0.0498,241,181,173,100,96
11560,영등포구,9952,9963,259,145,0.5598,8590,0.8622,884,690,0.7805,394,0.0395,534,0.0536,663,542,533,188,191
11590,동작구,8398,8463,224,111,0.4955,7685,0.9081,705,534,0.7574,360,0.0425,401,0.0474,513,400,389,150,148
11620,관악구,5790,5814,253,60,0.2372,4660,0.8015,641,478,0.7457,275,0.0473,242,0.0416,519,384,356,211,198
11650,서초구,8022,8067,564,138,0.2447,6360,0.7884,1560,973,0.6237,312,0.0387,389,0.0482,1178,798,764,522,517
11680,강남구,10204,10245,512,203,0.3965,8641,0.8434,1513,954,0.6305,365,0.0356,666,0.0650,1166,792,750,468,447
11710,송파구,13295,13331,397,135,0.3401,11875,0.8908,1168,885,0.7577,364,0.0273,501,0.0376,885,700,673,333,324
11740,강동구,11253,11424,465,101,0.2172,8918,0.7806,1290,979,0.7589,579,0.0507,667,0.0584,957,731,700,417,398
