aptSeq,aptNm,umdNm,road_key,jibun_key,거래건수,kaptCode,kaptName,matched_by
11680-4394,래미안대치팰리스,대치동,삼성로51길 37,대치동 1027,123,,,none
11680-378,한양1차(영동한양),압구정동,압구정로 321,압구정동 490,78,,,none
11680-331,삼성래미안,도곡동,남부순환로 2803,도곡동 91-5,69,,,none
11680-420,"현대6차(78~81,83,84,86,87동)",압구정동,압구정로 201,압구정동 456,67,,,none
11680-5271,대치푸르지오발라드,개포동,개포로 407,개포동 176-2,62,,,none
11680-417,현대3차(61~64동),압구정동,압구정로39길 58,압구정동 443,37,,,none
11680-421,"현대7차(73~77,82,85동)",압구정동,압구정로 201,압구정동 456,36,,,none
11680-351,현대아파트1동~3동,도곡동,도곡로18길 35,도곡동 961,28,,,none
11680-428,"현대14차(203,204,205,206동)",압구정동,압구정로29길 57,압구정동 447,28,,,none
11680-380,한양3,압구정동,압구정로 321,압구정동 489,26,,,none
11680-62,진흥아파트,청담동,학동로 513,청담동 65,21,,,none
11680-236,대림역삼,역삼동,언주로 316,역삼동 761-10,20,,,none
11680-187,진흥아파트,삼성동,학동로88길 5,삼성동 53-2,19,,,none
11680-427,현대13차(208~211동),압구정동,압구정로29길 23,압구정동 448,19,,,none
11680-419,"현대5차(71,72동)",압구정동,압구정로29길 68,압구정동 455,19,,,none
11680-434,LG선릉에클라트(A),삼성동,선릉로100길 42,삼성동 142-7,16,,,none
11680-531,대우아이빌멤버스(891-26),대치동,삼성로85길 42,대치동 891-26,15,,,none
11680-73,청담우방아파트,청담동,학동로 409,청담동 43,14,,,none
11680-4050,강남서해그랑블,역삼동,논현로63길 16,역삼동 796-29,14,,,none
11680-3946,청담4차이-편한세상,청담동,학동로73길 33,청담동 28-20,14,,,none
11680-4364,청담스위트,청담동,학동로73길 13,청담동 34-13,14,,,none
11680-108,네오빌,논현동,강남대로132길 42,논현동 55-12,14,,,none
11680-4911,논현아이파크,논현동,언주로 615,논현동 225-6,14,,,none
11680-384,한양7,압구정동,압구정로61길 37,압구정동 528,13,,,none
11680-418,현대4차저층(51~56동),압구정동,압구정로33길 70,압구정동 462,12,,,none
11680-4202,한양수자인어반게이트,논현동,봉은사로29길 35,논현동 221-7,12,,,none
11680-2,압구정대원칸타빌아파트,신사동,압구정로48길 15,신사동 659,12,,,none
11680-471,하이페리온,도곡동,도곡로4길 31,도곡동 968,12,,,none
11680-322,대림,도곡동,논현로41길 10,도곡동 960,12,,,none
11680-559,두산위브2단지,논현동,언주로122길 25,논현동 258,12,,,none
11680-3773,청담3차이-편한세상(301동),청담동,선릉로132길 54,청담동 44-21,11,,,none
11680-554,한진로즈힐,논현동,도산대로46길 21,논현동 105-4,11,,,none
11680-558,두산위브1단지,논현동,학동로46길 38,논현동 252-1,11,,,none
11680-407,삼부아그레빌,삼성동,영동대로114길 63,삼성동 98-11,11,,,none
11680-699,논현동한화꿈에그린,논현동,논현로111길 39,논현동 205-2,11,,,none
11680-528,선릉역대우아이빌(890-49),대치동,테헤란로64길 9,대치동 890-49,11,,,none
11680-5100,개포자이르네,개포동,언주로7길 6,개포동 1283,11,,,none
11680-3731,도곡스타클래스,도곡동,남부순환로 2615,도곡동 957-11,11,,,none
11680-6671,도곡더써밋타워,도곡동,강남대로42길 19,도곡동 954-17,11,,,none
11680-504,역삼동우정에쉐르1,역삼동,테헤란로4길 32,역삼동 826-29,10,,,none
11680-4284,청담신원아침도시마인,청담동,도산대로85길 30,청담동 122-35,10,,,none
11680-4036,대명벨리온,역삼동,역삼로25길 27,역삼동 727-2,9,,,none
11680-371,개포2차현대아파트(220),개포동,언주로 103,개포동 655-2,8,,,none
11680-503,강남역우정에쉐르,역삼동,테헤란로10길 10,역삼동 823-7,8,,,none
11680-9,신성아파트101동,신사동,언주로167길 15,신사동 622,8,,,none
11680-666,진넥스빌2,역삼동,언주로86길 7,역삼동 706-24,8,,,none
11680-4958,시티프라디움더강남101동,역삼동,언주로 557,역삼동 900,8,,,none
11680-399,롯데캐슬모닝,도곡동,도곡로14길 12,도곡동 551-28,8,,,none
11680-101,한신오페라하우스,청담동,삼성로135길 47,청담동 35-47,7,,,none
11680-5114,펜트힐캐스케이드,논현동,언주로 720,논현동 106,7,,,none
11680-4317,이스턴오피스텔,역삼동,테헤란로14길 13,역삼동 735-15,7,,,none
11680-4994,펜트힐루논현,논현동,언주로 641,논현동 211-21,7,,,none
11680-3667,동양파라곤,청담동,학동로97길 31,청담동 69-18,7,,,none
11680-141,"청학아파트에이동,비동,씨동",논현동,도산대로 232,논현동 62-3,7,,,none
11680-496,브라운스톤역삼,역삼동,역삼로 171,역삼동 747-5,7,,,none
11680-172,강변삼부아파트,삼성동,봉은사로113길 25,삼성동 99-12,7,,,none
11680-580,대치동우정에쉐르1,대치동,삼성로85길 38,대치동 891-28,6,,,none
11680-493,역삼우정에쉐르2,역삼동,테헤란로48길 10,역삼동 707-18,6,,,none
11680-4643,청담디에브스아파트,청담동,도산대로92길 28,청담동 62-6,6,,,none
11680-160,논현한가람빌라트,논현동,도산대로50길 54,논현동 105-3,6,,,none
11680-269,세방하이빌1,역삼동,역삼로 240,역삼동 771-4,6,,,none
11680-213,세영팔레스타운,대치동,영동대로65길 57,대치동 975-20,6,,,none
11680-592,우성아파트,청담동,삼성로147길 22,청담동 11-25,6,,,none
11680-4542,현대썬앤빌테헤란,대치동,삼성로85길 33,대치동 894,6,,,none
11680-3730,논현동월드메르디앙,논현동,학동로38길 22,논현동 212-13,6,,,none
11680-82,현대아파트(75-1),청담동,학동로87길 7,청담동 75-1,6,,,none
11680-682,대치한신휴플러스,대치동,선릉로76길 12,대치동 907-2,6,,,none
11680-435,우성리빙텔,도곡동,언주로30길 27,도곡동 467-10,6,,,none
11680-705,그랜빌캐슬,도곡동,남부순환로379길 35,도곡동 190-3,6,,,none
11680-105,경남논현,논현동,언주로116길 12,논현동 274,6,,,none
11680-5027,한양립스,삼성동,선릉로92길 37-4,삼성동 142-16,5,,,none
11680-401,미켈란107,삼성동,영동대로 602,삼성동 107,5,,,none
11680-267,역삼동하나빌,역삼동,봉은사로 312,역삼동 681-26,5,,,none
11680-4909,PH129,청담동,압구정로79길 88,청담동 129,5,,,none
11680-526,아름빌(889-74),대치동,선릉로86길 11,대치동 889-74,5,,,none
11680-3780,하이캐슬,대치동,삼성로64길 40,대치동 986-14,5,,,none
11680-3803,조이너스도곡,도곡동,강남대로48길 24,도곡동 950-19,5,,,none
11680-539,풍림아이원4차(1007-2),대치동,영동대로 330-7,대치동 1007-2,5,,,none
11680-190,푸른솔아파트1동,삼성동,학동로 420,삼성동 4-3,5,,,none
11680-4653,청담린든그로브,청담동,학동로97길 51,청담동 67-1,5,,,none
11680-404,포스코트,삼성동,봉은사로 510,삼성동 146,5,,,none
11680-467,지고하임(102동),논현동,강남대로136길 40,논현동 44-9,5,,,none
