sgg_cd,apt_seq,apt_nm,road_key,fail_reason
11110,11110-101,크래스빌,평창24길 6,K-apt 마스터에 없음
11110,11110-105,탑스빌,종로65길 12-4,K-apt 마스터에 없음
11110,11110-107,경희궁파크팰리스,사직로8길 20,K-apt 마스터에 없음
11110,11110-112,신현(102동),필운대로10길 18-8,K-apt 마스터에 없음
11110,11110-115,경희궁의아침2단지,사직로8길 24,K-apt 마스터에 없음
11110,11110-117,경희궁의아침4단지,새문안로3길 23,K-apt 마스터에 없음
11110,11110-118,킹스매너,경희궁2길 5-5,K-apt 마스터에 없음
11110,11110-12,롯데미도파광화문빌딩,세종대로23길 47,K-apt 마스터에 없음
11110,11110-124,동성아파트(1동),동숭4라길 29,K-apt 마스터에 없음
11110,11110-127,송림아마레스아파트,성균관로17길 22,K-apt 마스터에 없음
11110,11110-128,리치캐슬아파트,성균관로14길 19,K-apt 마스터에 없음
11110,11110-13,세종,세종대로23길 54,K-apt 마스터에 없음
11110,11110-131,하림빌라트,숭인동길 83-15,K-apt 마스터에 없음
11110,11110-132,동문(482-0),숭인동길 71,K-apt 마스터에 없음
11110,11110-14,세종로대우,새문안로3길 30,K-apt 마스터에 없음
11110,11110-146,벽산블루밍평창힐스,평창문화로 118,K-apt 마스터에 없음
11110,11110-15,신문로맨션,새문안로3길 12,K-apt 마스터에 없음
11110,11110-150,부암스카이뷰,창의문로 166,K-apt 마스터에 없음
11110,11110-151,프라임캐슬(케이빌라트),창의문로5길 7,K-apt 마스터에 없음
11110,11110-153,MID그린(2동),창신길 140-19,K-apt 마스터에 없음
11110,11110-16,운현신화타워,삼일대로32길 36,K-apt 마스터에 없음
11110,11110-204,효자,자하문로 55,K-apt 마스터에 없음
11110,11110-205,로얄팰리스스위트,율곡로2길 7,K-apt 마스터에 없음
11110,11110-206,혜화훼미리,혜화로8길 25,K-apt 마스터에 없음
11110,11110-2073,형우럭스빌(33-1),평창문화로 102-15,K-apt 마스터에 없음
11110,11110-2082,세종아파트,필운대로 69,K-apt 마스터에 없음
11110,11110-212,방산아파트,성균관로17길 33,K-apt 마스터에 없음
11110,11110-2128,건양하늘터,혜화로9길 28,K-apt 마스터에 없음
11110,11110-2132,별빛고운,창의문로10길 29,K-apt 마스터에 없음
11110,11110-2150,브라운스톤창신,지봉로 81,K-apt 마스터에 없음
11110,11110-2164,신동아블루아광화문의꿈,사직로 102,K-apt 마스터에 없음
11110,11110-217,(627-120),낙산성곽동길 35-1,K-apt 마스터에 없음
11110,11110-2175,두레엘리시안,필운대로2길 2,K-apt 마스터에 없음
11110,11110-219,포시즌,진흥로 450-5,K-apt 마스터에 없음
11110,11110-2204,광화문스페이스본(106동),경희궁길 57,K-apt 마스터에 없음
11110,11110-2223,대성스카이렉스,삼봉로 95,K-apt 마스터에 없음
11110,11110-2246,롯데캐슬로잔,평창문화로 156,K-apt 마스터에 없음
11110,11110-2261,엘리시아,평창문화로 142,K-apt 마스터에 없음
11110,11110-2291,CS타워,율곡로20길 24,K-apt 마스터에 없음
11110,11110-2292,밀레니엄,평창12길 14-4,K-apt 마스터에 없음
11110,11110-2301,무악다온채,통일로14길 35,K-apt 마스터에 없음
11110,11110-2322,삼전솔하임2차,종로58가길 27,K-apt 마스터에 없음
11110,11110-2334,종로유케이201,난계로29길 33-4,K-apt 마스터에 없음
11110,11110-2336,버넷하임1,난계로29가길 16,K-apt 마스터에 없음
11110,11110-2339,종로중흥S클래스,종로66길 28,K-apt 마스터에 없음
11110,11110-2343,종로동광모닝스카이,난계로29가길 24,K-apt 마스터에 없음
11110,11110-2344,종로아인스빌,난계로29가길 19,K-apt 마스터에 없음
11110,11110-2348,익성씨티하임,난계로29가길 17,K-apt 마스터에 없음
11110,11110-2359,이화에수풀,대학로 47,K-apt 마스터에 없음
11110,11110-2366,숭인한양LEEPS,난계로29가길 20,K-apt 마스터에 없음
11110,11110-2368,삼전솔하임4차,지봉로4길 13,K-apt 마스터에 없음
11110,11110-2411,아르젠종로,종로31길 54,K-apt 마스터에 없음
11110,11110-2450,블루빌,종로58가길 9,K-apt 마스터에 없음
11110,11110-2502,마운틴뷰,비봉길 7,K-apt 마스터에 없음
11110,11110-2539,디팰리스,새문안로2길 10,K-apt 마스터에 없음
11110,11110-2561,이지마루종로,김상옥로 55,K-apt 마스터에 없음
11110,11110-2708,에비뉴청계Ⅰ,종로66길 35,K-apt 마스터에 없음
11110,11110-29,덕산,창신9길 14,K-apt 마스터에 없음
11110,11110-30,동대문,지봉로 25,K-apt 마스터에 없음
11110,11110-31,동대문맨션,창신길 20,K-apt 마스터에 없음
11110,11110-33,동문상가,종로44길 14,K-apt 마스터에 없음
11110,11110-3414,에비뉴청계Ⅱ,난계로29가길 28,K-apt 마스터에 없음
11110,11110-3467,그린나래,평창문화로 67,K-apt 마스터에 없음
11110,11110-36,성용,창신4가길 40-3,K-apt 마스터에 없음
11110,11110-38,유성,창신7가길 14-6,K-apt 마스터에 없음
11110,11110-4,청운현대,자하문로33길 43,K-apt 마스터에 없음
11110,11110-40,흥인,창신길 131-4,K-apt 마스터에 없음
11110,11110-41,그린,낙산5길 22,K-apt 마스터에 없음
11110,11110-42,창신이수,지봉로 87,K-apt 마스터에 없음
11110,11110-43,MID그린(8동),창신길 140-8,K-apt 마스터에 없음
11110,11110-44,도시그린빌라,숭인동1길 31,K-apt 마스터에 없음
11110,11110-45,"동문(비동,씨동)(494-0)",숭인동2길 14-5,K-apt 마스터에 없음
11110,11110-48,숭인상가,청계천로 391,K-apt 마스터에 없음
11110,11110-49,오성,숭인동1나길 11-7,K-apt 마스터에 없음
11110,11110-51,동아,송월길 147,K-apt 마스터에 없음
11110,11110-52,대성아파트,사직로 21,K-apt 마스터에 없음
11110,11110-68,갑을아파트,평창문화로 19,K-apt 마스터에 없음
11110,11110-7,신현(101동),필운대로10길 16,K-apt 마스터에 없음
11110,11110-77,일성빌라트,평창문화로 119,K-apt 마스터에 없음
11110,11110-80,노블레스빌,평창문화로 81-6,K-apt 마스터에 없음
11110,11110-86,대아파크빌,진흥로 480,K-apt 마스터에 없음
11110,11110-89,구암하이빌,세검정로6다길 11-1,K-apt 마스터에 없음
11110,11110-92,아남2,혜화로3길 33,K-apt 마스터에 없음
11110,11110-94,MID그린(1동),창신길 140-21,K-apt 마스터에 없음
11110,11110-95,MID그린(9동),창신길 140-3,K-apt 마스터에 없음
11110,11110-96,MID그린(3동),창신길 140-16,K-apt 마스터에 없음
11110,11110-973,렉스빌,혜화로3가길 30,K-apt 마스터에 없음
11140,11140-1,경서,퇴계로2길 15-6,K-apt 마스터에 없음
11140,11140-10,평화,퇴계로8길 23,K-apt 마스터에 없음
11140,11140-1000,브라운스톤서울,청파로 464,K-apt 마스터에 없음
11140,11140-1003,태원팰리스5차(432-1132),동호로15길 91-8,K-apt 마스터에 없음
11140,11140-1004,이지-빌,퇴계로8길 65-3,K-apt 마스터에 없음
11140,11140-1010,바비엥3,통일로 86,K-apt 마스터에 없음
11140,11140-1012,한진해모로,왕십리로39길 30,K-apt 마스터에 없음
11140,11140-1013,노블레스하우스,다산로34길 26,K-apt 마스터에 없음
11140,11140-1018,삼성V아파트A동,청구로4길 40,K-apt 마스터에 없음
11140,11140-1039,롯데캐슬,청계천로 400,후보 2개 이상(모호)
11140,11140-1053,상지리츠빌장충동카일룸,동호로20나길 30,K-apt 마스터에 없음
11140,11140-1058,청구103동,청구로1길 47,K-apt 마스터에 없음
11140,11140-1062,남산FORESTHOUSE,동호로17길 242,K-apt 마스터에 없음
11140,11140-1119,남산트라팰리스,소월로2길 30,K-apt 마스터에 없음
11140,11140-1125,(372-66),동호로5길 12,K-apt 마스터에 없음
11140,11140-1141,래미안하이베르,퇴계로90길 74,후보 2개 이상(모호)
11140,11140-1144,청구e편한세상,청구로 64,후보 2개 이상(모호)
11140,11140-1197,한양I-Class,난계로 173,K-apt 마스터에 없음
11140,11140-1206,DUO302,난계로 169,K-apt 마스터에 없음
11140,11140-1217,신당아르브,난계로 151,K-apt 마스터에 없음
11140,11140-1248,(1546-0),난계로15길 36-6,K-apt 마스터에 없음
11140,11140-1255,신당역솔하임,퇴계로 448,K-apt 마스터에 없음
11140,11140-1273,신당블루카운티,난계로11길 22,K-apt 마스터에 없음
11140,11140-1274,동대문솔하임,마장로 58,K-apt 마스터에 없음
11140,11140-1286,그랜드힐오피스텔,마장로9길 49-15,K-apt 마스터에 없음
11140,11140-1297,골드캐슬Ⅲ,난계로21길 39,K-apt 마스터에 없음
11140,11140-1301,위더스하임,퇴계로73길 20,K-apt 마스터에 없음
11140,11140-1303,충무로헤센스마트,서애로1길 11,K-apt 마스터에 없음
11140,11140-1306,동광팰리스,난계로17길 16,K-apt 마스터에 없음
11140,11140-1315,위너빌(Winnervill),마장로14길 11,K-apt 마스터에 없음
11140,11140-1319,청계리버팰리스B,난계로17길 58-8,K-apt 마스터에 없음
11140,11140-1321,이지마루오장,마른내로 126-1,K-apt 마스터에 없음
11140,11140-1330,청계리버팰리스A,난계로17길 48,K-apt 마스터에 없음
11140,11140-1350,이지마루충무로,퇴계로49길 26,K-apt 마스터에 없음
11140,11140-1364,오장동오팰리오,마른내로 127,K-apt 마스터에 없음
11140,11140-1370,약수역더시티,동호로7길 14,K-apt 마스터에 없음
11140,11140-1380,청계랜드힐아파트,난계로17길 40-16,K-apt 마스터에 없음
11140,11140-16,충무,퇴계로50길 42,K-apt 마스터에 없음
11140,11140-17,미주,필동로5길 2,K-apt 마스터에 없음
11140,11140-18,예장동삼익,퇴계로30길 24,K-apt 마스터에 없음
11140,11140-19,장충동라임카운티,동호로20가길 38,K-apt 마스터에 없음
11140,11140-2,정동,정동길 13,K-apt 마스터에 없음
11140,11140-20,장충레지던스,동호로20나길 23,K-apt 마스터에 없음
11140,11140-21,장충,동호로25길 36,K-apt 마스터에 없음
11140,11140-23,대림상가,을지로 157,K-apt 마스터에 없음
11140,11140-26,우일타운,다산로 274,K-apt 마스터에 없음
11140,11140-28,남산타운,다산로 32,후보 2개 이상(모호)
11140,11140-30,동평화패션타운,청계천로 318,K-apt 마스터에 없음
11140,11140-307,하이,다산로40길 23,K-apt 마스터에 없음
11140,11140-309,태원팰리스,다산로21길 31,K-apt 마스터에 없음
11140,11140-313,서울역디오빌,만리재로 193,K-apt 마스터에 없음
